date,first,second
2021-05-24,"68,651","16,656"
2021-05-25,"71,082","16,656"
2021-05-26,"70,064","19,309"
2021-05-27,"71,929","19,309"
2021-05-28,"73,949","19,309"
2021-05-29,"76,137","19,309"
2021-05-30,"77,226","19,309"
2021-05-31,"78,126","19,309"
2021-06-01,"78,938","19,309"
2021-06-02,"79,426","21,153"
2021-06-03,"81,413","21,153"
2021-06-04,"84,189","21,153"
2021-06-05,"86,584","21,153"
2021-06-06,"88,847","21,153"
2021-06-07,"90,040","21,153"
2021-06-08,"88,609","25,439"
2021-06-09,"90,952","25,439"
2021-06-10,"93,301","25,439"
2021-06-11,"95,835","25,439"
2021-06-12,"98,333","25,439"
2021-06-13,"100,110","25,439"
2021-06-14,"101,381","25,439"
2021-06-15,"102,679","25,439"
2021-06-16,"102,311","28,967"
2021-06-17,"105,078","28,967"
2021-06-18,"107,477","28,967"
2021-06-19,"109,658","28,967"
2021-06-20,"111,357","28,967"
2021-06-21,"113,047","28,967"
2021-06-22,"108,297","35,790"
2021-06-23,"110,488","35,790"
2021-06-24,"112,436","35,790"
2021-06-25,"114,751","35,790"
2021-06-26,"116,997","35,790"
2021-06-27,"118,556","35,790"
2021-06-28,"119,959","35,790"
2021-06-29,"115,485","42,467"
2021-06-30,"118,002","42,467"
2021-07-01,"120,792","42,467"
2021-07-02,"135,464","47,464"
2021-07-03,"138,624","49,843"
2021-07-04,"139,124","50,219"
2021-07-05,"139,541","50,816"
2021-07-06,"143,625","53,654"
2021-07-07,"144,453","54,496"
2021-07-08,"147,570","55,752"
2021-07-09,"148,365","56,751"
2021-07-10,"150,940","58,429"
2021-07-11,"151,602","58,931"
2021-07-12,"151,868","59,392"
2021-07-13,"155,119","62,082"
2021-07-14,"156,854","63,580"
2021-07-15,"158,406","64,995"
2021-07-16,"159,263","65,961"
2021-07-17,"160,939","67,331"
2021-07-18,"161,497","68,133"
2021-07-19,"161,807","68,264"
2021-07-20,"170,650","74,460"
2021-07-21,"172,313","75,941"
2021-07-22,"173,121","76,715"
2021-07-23,"176,051","79,250"
2021-07-24,"176,674","80,144"
2021-07-25,"177,252","80,691"
2021-07-26,"177,550","80,804"
2021-07-27,"186,533","87,180"
2021-07-28,"188,778","88,956"
2021-07-29,"158,586","73,361"
2021-07-30,"159,327","74,508"
2021-07-31,"162,249","76,910"
2021-08-01,"163,728","78,713"
2021-08-02,"164,048","79,341"
2021-08-03,"168,170","82,284"
2021-08-04,"169,974","84,043"
2021-08-05,"170,831","85,228"
2021-08-06,"171,540","86,247"
2021-08-07,"173,549","88,212"
2021-08-08,"174,961","89,739"
2021-08-09,"175,425","90,765"
2021-08-10,"178,484","93,380"
2021-08-11,"179,252","94,513"
2021-08-12,"180,795","97,035"
2021-08-13,"181,701","98,445"
2021-08-14,"185,330","103,014"
2021-08-15,"186,020","104,279"
2021-08-16,"186,398","104,819"
2021-08-17,"188,473","107,593"
2021-08-18,"192,325","110,697"
2021-08-19,"194,124","112,125"
2021-08-20,"197,963","117,405"
