DATE,TAS,NT,ACT,SA,WA,QLD,VIC,NSW,AUS
2021-03-23,1100,606,,,,,3369,,5075
2021-03-24,1100,807,,,,,4362,,6269
2021-03-25,1100,1019,,,2635,,5709,,10463
2021-03-26,2178,1254,,,3444,,6797,,13673
2021-03-27,2178,1429,,,4025,,7874,,15506
2021-03-28,2178,1429,,,4101,,9073,,16781
2021-03-29,2178,1429,,,4269,7000,9612,,24488
2021-03-30,2178,1650,,,2609,7000,11108,,24545
2021-03-31,2535,1883,,,6270,7000,12782,,30470
2021-04-01,2535,2092,,,7177,7000,15448,,34252
2021-04-02,,2092,,,8217,7000,18059,29796,65164
2021-04-03,,2092,,,8393,7000,18413,30383,66281
2021-04-04,,2092,,,8520,7000,18414,31212,67238
2021-04-05,,2092,,,8520,7000,18726,31212,67550
2021-04-06,,2336,,,8684,7000,19116,31795,68931
2021-04-07,,2572,,,9554,7000,21690,35475,76291
2021-04-08,,2921,,,10334,,23793,38445,75493
2021-04-09,,2921,,,11214,,27261,41376,82772
2021-04-10,,2921,,,11918,,29360,44016,88215
2021-04-11,,2921,,,12088,,29835,44208,89052
2021-04-12,,2921,,,12172,,30255,44208,89556
2021-04-13,,3783,,,12963,,32489,46400,95635
2021-04-14,,3783,,,13827,,34530,48482,100622
2021-04-15,,4190,,,14667,,36307,50388,105552
2021-04-16,,4331,,,15372,,37534,52537,109774
2021-04-17,,4524,,,15372,,38814,54555,113265
2021-04-18,,4524,,,16232,,38849,54668,114273
2021-04-19,,4524,,,16261,,39322,54668,114775
2021-04-20,,4683,,,17331,,41142,54736,117892
2021-04-21,8217,4802,,,18422,,42235,58662,132338
2021-04-22,8217,4972,,,19361,,43145,60582,136277
2021-04-23,,5516,,,20159,,44750,62491,132916
2021-04-24,,5214,,,20968,,44750,63317,134249
2021-04-25,,5214,,,20968,,45537,63537,135256
2021-04-26,,5214,,,20968,,45559,63537,135278
2021-04-27,,5214,,,21159,,45800,63944,136117
2021-04-28,,5302,,,21730,,46873,64910,138815
2021-04-29,,5302,,,22303,,47438,65948,140991
2021-04-30,,5500,,,22879,,47959,67149,143487
2021-05-01,,5634,,,23492,,48306,68472,145904
2021-05-02,,5634,,,23492,,48564,68656,146346
2021-05-03,,5634,,,23503,,48753,68656,146546
2021-05-04,,5634,,,24048,,49241,70039,148962
2021-05-05,,5824,,,24603,,50125,71767,152319
2021-05-06,,6026,,,25071,,50995,73270,155362
2021-05-07,,6026,,,25668,,52246,75187,159127
2021-05-08,,6026,,,26333,,53302,76908,162569
2021-05-09,,6026,,,26333,,53514,77392,163265
2021-05-10,,6026,,,26333,,53835,77392,163586
2021-05-11,,6026,,,27015,,54856,78744,166641
2021-05-12,,6026,,,27681,,56098,80082,169887
2021-05-13,,7113,,,28338,,58141,81457,175049
2021-05-14,,7113,,,29032,,59549,82774,178468
2021-05-15,,7113,,,29647,,61396,84474,182630
2021-05-16,,7113,,,29657,,61956,84963,183689
2021-05-17,,7567,,,29679,,62267,84963,184476
2021-05-18,,7567,,,30503,,64708,87045,189823
2021-05-19,,7876,13826,,31455,,66702,89049,208908
2021-05-20,,8155,13826,,32368,,68392,91297,214038
2021-05-21,,8155,,,33479,,70668,93860,206162
2021-05-22,,8155,,,34417,,72167,96266,211005
2021-05-23,,8730,,,34659,,72806,96745,212940
2021-05-24,17966,8904,16656,33229,47797,78898,87033,125810,416293
2021-05-25,17966,10343,16656,33229,49302,78898,87033,125810,419237
2021-05-26,20779,10472,19309,38828,51298,84774,102081,145341,472882
2021-05-27,20779,10655,19309,38828,53268,84774,103516,150552,481681
2021-05-28,22000,11034,19309,38828,55231,84774,106257,153886,491319
2021-05-29,22000,11034,19309,38828,58409,84774,107784,153886,496024
2021-05-30,22000,11034,19309,38828,58409,84774,109581,153886,497821
2021-05-31,22000,11387,19309,38828,58409,84774,110644,153886,499237
2021-06-01,22000,11387,19309,38828,58409,84774,111928,156333,502968
2021-06-02,22598,12513,21153,44675,62901,92542,117174,167075,540631
2021-06-03,22598,12838,21153,44675,65074,92542,119343,170669,548892
2021-06-04,22598,13223,21153,44675,67313,92542,120941,175030,557475
2021-06-05,22598,13637,21153,44675,67313,92542,123421,179477,564816
2021-06-06,22598,13637,21153,44675,67313,92542,126175,180397,568490
2021-06-07,22598,13637,21153,44675,71702,92542,129280,180397,575984
2021-06-08,25637,14185,25439,52740,71702,105173,135645,204595,635116
2021-06-09,25637,14656,25439,52740,74030,105173,138213,213686,649574
2021-06-10,25637,15098,25439,52740,76283,105173,142426,213686,656482
2021-06-11,25637,15673,25439,52740,79102,105173,142426,222807,668997
2021-06-12,25637,16222,25439,52740,79102,105173,146749,232335,683397
2021-06-13,25637,16222,25439,52740,82670,105173,148111,237250,693242
2021-06-14,25637,16222,25439,52740,83111,105173,149300,237250,694872
2021-06-15,25637,16222,25439,52740,85858,105173,150573,237250,698892
2021-06-16,27397,17565,28967,61844,89075,128324,165724,259437,778333
2021-06-17,27397,19629,28967,61844,92337,128324,172244,269824,800566
2021-06-18,27397,19629,28967,61844,96158,128324,179270,279418,821007
2021-06-19,27397,20510,28967,61844,96158,128324,188061,289941,841202
2021-06-20,27397,20510,28967,61844,102375,128324,193338,294965,857720
2021-06-21,27397,20510,28967,61844,103285,128324,199051,294981,864359
2021-06-22,40728,21935,35790,79600,107035,188420,256069,357767,1087344
2021-06-23,40728,21935,35790,79600,110876,188420,270392,366660,1114401
2021-06-24,40728,23834,35790,79600,115751,188420,270392,376276,1130791
2021-06-25,40728,25026,35790,79600,121004,188420,294056,385092,1169716
2021-06-26,40728,25026,35790,79600,121004,188420,309058,392527,1192153
2021-06-27,40728,25026,35790,79600,128575,188420,317413,396246,1211798
2021-06-28,40728,25026,35790,79600,130190,188420,325615,396652,1222021
2021-06-29,50642,27878,42467,103356,133293,273359,382741,463624,1477360
2021-06-30,50642,27878,42467,103356,137742,273359,394855,471176,1501475
2021-07-01,50642,27878,42467,103356,142973,273359,409081,471176,1520932
2021-07-02,56124,31099,47464,119739,148268,331806,457280,534493,1726030
2021-07-03,58183,32064,49843,125870,154658,350877,482714,554057,1807994
2021-07-04,59520,32264,50219,128817,158085,363682,498229,564930,1855470
2021-07-05,59760,32308,50816,130566,160146,369481,507228,567316,1877342
2021-07-06,62548,33031,53654,135215,165426,379607,528070,586674,1943939
2021-07-07,63420,33936,54496,140508,170876,397278,554313,609108,2023638
2021-07-08,64255,34959,55752,147131,176557,417238,573622,629961,2099169
2021-07-09,65660,36066,56751,153431,182456,437988,596746,651446,2180230
2021-07-10,66500,37074,58429,159279,187378,455681,618399,671858,2254272
2021-07-11,71700,37358,58931,162764,191117,467536,630774,683667,2303513
2021-07-12,72150,37399,59392,165105,192945,473868,638454,686408,2325386
2021-07-13,74120,38507,62082,170613,199052,485285,660399,710714,2400432
2021-07-14,75898,39852,63580,176598,207054,503562,681030,741075,2488298
2021-07-15,77905,41300,64995,183279,214796,523333,703352,769552,2578152
2021-07-16,79325,42923,65961,189823,221981,544039,724373,801520,2669571
2021-07-17,81062,43989,67331,196098,227700,561139,745336,830856,2753119
2021-07-18,81899,44216,68133,199125,232051,573150,757033,846261,2801465
2021-07-19,82021,44279,68264,201555,234916,578917,763682,854625,2827855
2021-07-20,84930,45051,74460,206339,241560,587289,784330,882844,2906341
2021-07-21,86660,46183,75941,212151,250342,604283,806196,912940,2994218
2021-07-22,88949,47598,76715,219624,259541,622279,826760,948667,3089644
2021-07-23,90571,48862,79250,226395,268002,640202,847974,982170,3182918
2021-07-24,92327,49336,80144,232729,275533,657252,871704,1012939,3271447
2021-07-25,93061,49689,80691,236133,280151,667000,886208,1034280,3326691
2021-07-26,93184,49804,80804,238864,284226,673160,893448,1045515,3358477
2021-07-27,96413,50605,87180,244916,293816,681859,918338,1071895,3444461
2021-07-28,98525,51976,88956,251683,305499,700095,939923,1108405,3544484
2021-07-29,101319,43820,73361,258706,314235,703491,973629,1156321,3656540
2021-07-30,103595,44934,74508,266357,325350,724757,999343,1190942,3762007
2021-07-31,105990,46165,76910,272953,335011,743107,1023953,1228845,3865785
2021-08-01,107465,46553,78713,275925,340905,753447,1038227,1252304,3927056
2021-08-02,108539,46646,79341,278157,345429,759788,1047221,1265839,3964723
2021-08-03,110385,46911,82284,284507,356046,773840,1073291,1300394,4061924
2021-08-04,113118,47709,84043,291436,367691,795568,1097386,1342211,4174026
2021-08-05,115541,48979,85228,299590,378575,820439,1124519,1381481,4289820
2021-08-06,117799,50089,86247,307094,390391,845211,1152530,1423185,4408805
2021-08-07,119730,51123,88212,314398,401300,868777,1182570,1463495,4526588
2021-08-08,121799,51794,89739,318824,408162,880512,1201714,1501249,4611321
2021-08-09,123114,51884,90765,321501,413694,887301,1215296,1510648,4651958
2021-08-10,126053,52765,93380,328327,425656,902692,1245389,1548545,4761140
2021-08-11,129269,53767,94513,336885,437632,925847,1275621,1599438,4892237
2021-08-12,132309,54936,97035,345814,450571,948910,1308532,1645077,5023297
2021-08-13,136373,56139,98445,355629,463617,972990,1340713,1693577,5158400
2021-08-14,139298,57145,103014,364126,476011,996536,1375135,1742669,5295788
2021-08-15,142028,57697,104279,368567,483431,1010014,1397397,1767176,5372888
2021-08-16,143169,57890,104819,371099,489732,1016058,1402833,1781578,5409686
2021-08-17,145662,58556,107593,379539,503484,1035432,1442497,1826165,5542237
2021-08-18,148716,59404,110697,388472,516297,1057330,1475180,1871458,5671442
2021-08-19,151592,60776,112125,398074,530080,1081599,1512114,1924839,5815832
2021-08-20,155575,62079,117405,407529,544199,1103840,1549472,1973224,5958723
2021-08-21,158359,63337,122835,417196,557506,1126894,1588286,2022928,6103421
2021-08-22,161237,64123,123827,422198,567340,1138868,1614057,2052364,6190566
2021-08-23,162478,64466,124694,424678,574549,1146232,1629776,2066915,6240640
2021-08-24,165228,65136,129260,433583,587351,1163606,1664243,2112611,6368421
2021-08-25,167989,66152,130437,443304,602085,1186472,1700432,2163192,6508204
2021-08-26,171577,67389,133495,454238,615694,1212977,1738327,2218458,6661200
2021-08-27,175563,68626,137456,464538,629871,1240365,1768264,2273984,6808469
2021-08-28,178806,69845,139112,474737,644299,1264175,1802476,2326130,6950122
2021-08-29,181777,70660,139929,480571,652778,1278711,1835226,2353563,7044253
2021-08-30,182649,70857,140871,484125,657856,1286498,1848844,2372417,7095576
2021-08-31,185145,71871,142253,492748,667121,1303918,1873762,2433592,7222529
2021-09-01,189026,73067,147551,502057,678964,1327631,1913967,2484199,7369320
2021-09-02,192256,74319,150907,511159,690709,1353061,1947124,2539287,7512554
2021-09-03,195110,75436,153262,521139,703388,1379894,1979840,2590966,7653638
2021-09-04,197723,76390,155901,530388,715342,1404052,2013194,2644865,7793356
2021-09-05,199599,76853,157819,534320,723398,1419178,2033306,2678906,7879487
2021-09-06,200952,77258,159406,536937,727924,1429206,2043711,2692904,7924726
2021-09-07,202714,78225,161561,543316,740925,1448334,2070979,2743498,8046566
2021-09-08,204332,79596,164796,551438,754041,1472850,2100054,2802011,8186949
2021-09-09,207265,80856,167412,560533,766794,1498968,2129632,2860253,8330598
2021-09-10,210307,82186,169867,569507,781063,1524449,2160985,2924263,8482722
2021-09-11,212135,83508,172327,577505,794246,1549891,2187752,2992899,8631565
2021-09-12,213699,84094,174745,581740,802262,1566297,2204358,3031072,8720390
2021-09-13,213771,84451,176741,584790,808688,1576201,2214626,3051925,8773858
2021-09-14,216911,85683,179384,593424,820751,1596205,2241494,3123699,8921250
2021-09-15,219520,86858,182405,601969,832530,1619806,2268922,3189070,9066250
2021-09-16,221506,88051,184994,610759,844289,1644535,2295722,3259323,9215782
2021-09-17,223597,89113,187502,619028,856819,1669118,2323385,3323936,9360385
2021-09-18,225681,90338,190242,627342,869092,1692357,2353433,3412016,9529749
2021-09-19,228031,90957,192709,632028,877518,1707734,2372803,3461082,9633085
2021-09-20,229795,91437,193955,635867,885061,1717554,2386308,3487539,9700423
