Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA3 (UR) by INCP Total Personal Income (weekly)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INCP Total Personal Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)","Not applicable","Total",
"SA3 (UR)",
"Queanbeyan",161,3063,1697,2188,2658,2732,2657,3187,3921,4450,3639,3312,2220,4091,1812,11235,53027,
"Snowy Mountains",69,839,603,1028,1435,1437,1462,1490,1543,1362,871,669,459,561,292,3275,17393,
"South Coast",250,3168,2481,5055,7702,7132,6035,5404,4999,4212,2405,1633,1122,1224,671,10610,64105,
"Goulburn - Mulwaree",143,1895,1099,2051,2774,2833,2487,2473,2430,2360,1429,1219,879,1055,399,6398,31924,
"Young - Yass",169,1757,1186,1897,2699,2605,2432,2349,2418,2226,1465,1406,948,1513,817,7255,33139,
"Gosford",508,10503,6021,9366,13040,13797,11973,11041,11482,11272,7450,6548,4742,6445,3398,30234,157834,
"Wyong",570,9248,5115,9546,14668,14079,11613,11071,11148,10211,6266,4906,3244,3810,1542,30188,147232,
"Bathurst",143,2636,1479,2756,3166,3343,3035,3006,3147,2989,2070,1745,1272,1488,554,9047,41876,
"Lachlan Valley",308,2795,1617,3497,5249,4838,4018,3808,3567,3127,1845,1486,975,1184,631,10814,49757,
"Lithgow - Mudgee",206,2568,1449,3093,4241,4149,2986,2776,2642,2404,1475,1156,945,1671,818,8763,41347,
"Orange",218,3251,1812,3079,4186,4066,3601,3762,3802,3808,2468,2195,1642,2199,1008,12293,53375,
"Clarence Valley",202,2487,1669,4008,6145,5374,4007,3666,3107,2448,1344,1079,741,791,395,8226,45695,
"Coffs Harbour",367,4339,2858,5776,8036,7707,6758,6510,6157,5037,3116,2301,1648,1838,906,15635,78990,
"Bourke - Cobar - Coonamble",171,1158,562,1642,2020,1831,1357,1359,1352,1290,811,708,496,704,368,5109,20930,
"Broken Hill and Far West",88,1012,552,1500,1985,1894,1348,1206,1065,1106,738,591,529,656,229,3422,17916,
"Dubbo",351,3243,2030,3899,5659,5173,4797,4897,4848,4368,2591,2144,1610,1814,820,14096,62353,
"Lower Hunter",284,5447,2851,5391,7337,6812,5564,5488,5175,4934,3089,2573,2008,3615,1517,17928,80010,
"Maitland",219,4411,2588,4246,5557,5204,4655,4638,5091,4815,3240,2781,2058,3105,1252,16246,70109,
"Port Stephens",246,4075,2427,4520,6644,6298,5396,4756,4598,4532,2785,2327,1490,1989,936,12558,65573,
"Upper Hunter",133,1784,950,1666,2125,2102,1819,1851,1836,1636,1053,924,740,1626,587,6529,27367,
"Dapto - Port Kembla",302,4919,2741,5190,7439,6838,5032,4742,4761,4589,2980,2379,1783,2143,759,14408,71006,
"Illawarra Catchment Reserve",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
"Kiama - Shellharbour",262,5823,3192,5261,7746,6854,6245,5804,5823,5798,3845,3311,2442,3331,1263,17203,84201,
"Wollongong",425,9603,4866,8306,9907,9467,8097,7314,7487,8194,5924,5404,4093,6090,3067,22153,120411,
"Great Lakes",128,1481,1026,2475,3988,3697,2670,2292,1892,1490,871,604,435,498,304,4428,28269,
"Kempsey - Nambucca",183,2230,1570,3763,5833,5299,3730,3408,2800,2335,1196,818,617,608,337,8137,42854,
"Lord Howe Island",0,14,8,8,31,28,25,37,35,38,14,18,6,17,5,51,339,
"Port Macquarie",232,3828,2528,5044,8453,7628,6382,5692,5260,4581,2759,2157,1560,1781,985,13108,71984,
"Taree - Gloucester",220,2888,1836,4353,6605,5640,4463,3851,3352,2694,1515,1059,770,781,442,8977,49431,
"Albury",200,3048,2047,3596,4605,4750,4426,4301,4712,4201,2754,2112,1351,1571,813,11813,56292,
"Lower Murray",78,649,374,777,1047,955,880,833,871,760,458,311,241,251,171,2360,11012,
"Upper Murray exc. Albury",206,1956,1279,2643,4072,3698,3300,2889,3005,2705,1549,1110,714,815,446,7271,37655,
"Armidale",192,2320,1368,2760,2847,2832,2711,2660,2373,2263,1335,1156,792,1073,478,6759,33914,
"Inverell - Tenterfield",267,1790,1232,3040,4179,3786,2762,2753,2514,1927,966,682,516,537,298,7035,34294,
"Moree - Narrabri",151,1152,669,1534,1687,1636,1557,1613,1724,1665,1057,826,539,656,458,5574,22502,
"Tamworth - Gunnedah",384,3847,2389,4581,6624,6394,5492,5780,6096,5261,3074,2416,1714,2226,1017,16264,73567,
"Lake Macquarie - East",342,6873,4308,6892,10319,10178,8367,7745,8086,8269,5286,4617,3328,4763,2340,21969,113682,
"Lake Macquarie - West",224,4687,2551,4666,6733,6479,5470,5096,5052,5118,3117,2569,1758,2213,986,13682,70397,
"Newcastle",489,9712,5492,10491,12933,12629,10766,10414,11049,11366,7920,6779,4755,7112,3758,27768,153423,
"Richmond Valley - Coastal",236,3556,2533,4430,6770,7151,6511,5930,5473,4801,2822,2259,1619,1942,1349,13002,70398,
"Richmond Valley - Hinterland",309,3417,2374,5185,6849,6873,5475,5320,5050,4028,2087,1556,1002,1118,548,12752,63941,
"Tweed Valley",300,4582,3045,5825,9280,9010,7571,6417,6168,5596,3184,2493,1670,1856,1025,15321,83341,
"Griffith - Murrumbidgee (West)",218,2597,1415,2492,3402,3269,3174,3677,3878,3232,1904,1392,900,1006,536,9943,43047,
"Tumut - Tumbarumba",55,788,442,871,1265,1170,1030,934,873,924,563,492,299,381,152,2610,12852,
"Wagga Wagga",321,4661,2889,5222,6972,6805,6560,6695,7131,6431,4078,3112,2286,2573,1293,18537,85581,
"Shoalhaven",435,4919,3294,7085,10985,9710,7950,6967,6140,5619,3333,2641,1853,2080,1072,16291,90383,
"Southern Highlands",201,2925,1701,2427,3660,3616,3459,3245,3332,3179,1966,1723,1291,1777,1277,8397,44171,
"Baulkham Hills",439,13993,5932,6587,6691,6463,7063,7095,7964,9520,7379,7037,5399,10435,7255,28997,138251,
"Dural - Wisemans Ferry",96,2143,1002,1255,1427,1441,1560,1406,1564,1694,1280,1187,845,1389,1406,4957,24653,
"Hawkesbury",86,1618,826,1152,1330,1392,1395,1472,1773,1960,1316,1120,836,1080,471,4879,22724,
"Rouse Hill - McGraths Hill",95,2757,1122,1307,1368,1398,1629,1633,1939,2298,1786,1728,1322,2175,1097,8124,31779,
"Blacktown",694,12653,4408,7604,9009,8085,7224,8629,10600,10599,6762,5078,3286,3930,1071,27469,127103,
"Blacktown - North",272,8543,2912,3548,3833,3754,4017,4509,5778,6923,5436,4720,3616,5572,1970,22819,88228,
"Mount Druitt",644,10401,3416,6726,7796,6715,6142,7546,8551,7958,4636,3164,1838,1767,477,27034,104816,
"Botany",207,4308,1226,2260,2977,2847,2539,2796,3324,3513,2552,2037,1506,2251,998,7923,43260,
"Marrickville - Sydenham - Petersham",170,3051,1213,2543,3173,3251,2849,3033,3789,4243,3445,3106,2337,4036,2125,7656,50022,
"Sydney Inner City",1135,20485,4364,8546,10663,11022,9988,9985,12765,15845,12913,12585,9411,18404,14233,14679,187011,
"Eastern Suburbs - North",445,7593,2688,3299,3916,4394,4764,5148,6564,8318,7151,7143,5469,11089,15561,19789,113333,
"Eastern Suburbs - South",625,14183,4184,6074,6762,7143,6777,6434,7814,9650,7642,7173,5423,9291,7847,20960,127975,
"Bankstown",990,17094,5874,11863,13685,11777,9957,10099,10840,10557,6673,5025,3310,4336,1700,36678,160461,
"Canterbury",839,15145,4516,9426,10919,9542,8209,8384,8760,8259,4980,3668,2407,3031,1275,27038,126399,
"Hurstville",623,14807,4707,7215,8626,8037,7513,7779,8731,8854,5882,4829,3439,5197,3076,21160,120478,
"Kogarah - Rockdale",691,13289,4067,7152,9407,9127,8263,8730,10275,10387,6876,5720,3804,5623,2595,22202,128205,
"Canada Bay",388,7770,2396,3549,4323,4152,3918,4035,5059,6014,4598,4482,3445,6420,5323,14097,79966,
"Leichhardt",149,2787,1233,1864,2222,2245,2111,2161,2744,3374,2988,3082,2492,5494,6466,10268,51685,
"Strathfield - Burwood - Ashfield",797,16565,4782,7528,9365,9417,8478,8779,10210,11424,7927,6809,4931,7966,4769,21863,141605,
"Chatswood - Lane Cove",418,10371,3553,3929,4205,4334,4401,4708,5789,7023,5750,5597,4513,9324,11032,21191,106141,
"Hornsby",248,6938,3167,3643,3881,4084,4187,4347,4929,5380,4179,3840,3070,5745,3016,16446,77101,
"Ku-ring-gai",365,11827,5181,4691,4227,4400,4931,4701,5722,6533,5194,5088,4110,8859,12990,23947,112773,
"North Sydney - Mosman",275,5634,2154,2419,2605,3105,3313,3612,4664,6356,5748,5922,4710,10168,12724,13392,86803,
"Manly",119,2589,1185,1255,1327,1496,1734,1679,2114,2679,2120,2179,1698,3624,5363,7879,39037,
"Pittwater",181,3773,2136,2449,2678,3087,3399,3409,3750,4258,3209,2909,2050,3705,4036,11751,56784,
"Warringah",411,9296,5165,5926,6953,7852,8108,8464,9795,10693,8014,7156,5105,9503,8930,30223,141598,
"Camden",160,4171,2016,2569,3125,2993,3186,3580,4245,4844,3638,3154,2410,3252,1123,14995,59466,
"Campbelltown (NSW)",622,13415,5271,9106,10888,9860,9272,10647,12281,11734,7498,5534,3322,3827,1191,34010,148478,
"Wollondilly",123,2748,1344,1968,2620,2361,2322,2530,2819,2991,2052,1772,1330,1765,743,8981,38469,
"Blue Mountains",213,4762,2843,4087,4984,5799,5179,4740,5045,5119,3770,3457,2789,3835,1569,14047,72225,
"Blue Mountains - South",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Penrith",434,9360,4237,6527,8378,8254,7750,8600,10458,11535,7959,6435,4469,5319,1830,30035,131574,
"Richmond - Windsor",161,2175,1126,1891,2346,2371,2370,2450,2678,2727,1832,1506,939,1138,407,6930,33059,
"St Marys",278,4162,1577,2847,3497,3287,3083,3725,4584,4550,2817,1994,1158,1217,332,11131,50224,
"Auburn",727,11555,2718,5788,6185,5461,5148,5592,6057,5709,3466,2615,1726,2475,987,15651,81853,
"Carlingford",317,7328,2774,3727,4088,3619,3598,3583,4020,4648,3232,2851,2104,3265,1532,12720,63397,
"Merrylands - Guildford",1131,14927,5351,11320,12037,10208,8376,8828,9977,9176,5774,4138,2515,3193,1059,32740,140751,
"Parramatta",570,14452,4026,6821,7765,7906,6908,7722,9563,10304,7648,6551,4934,7027,2172,27365,131718,
"Pennant Hills - Epping",154,5447,2098,2200,2119,2036,2287,2157,2644,3098,2367,2247,1822,3528,2752,8668,45629,
"Ryde - Hunters Hill",589,15148,4662,6607,7097,7077,6766,6858,7994,9638,6985,6393,4830,8235,6084,22234,127201,
"Bringelly - Green Valley",475,9580,3255,6209,6964,5526,5365,6177,7130,7157,4746,3653,2308,2712,983,24013,96245,
"Fairfield",1336,20101,7021,16764,18964,14142,10798,11604,12102,10676,6278,4281,2488,2705,1045,35112,175422,
"Liverpool",559,10712,3633,7186,7906,6984,5978,6761,7695,8044,5326,4069,2839,3270,1255,26268,108464,
"Cronulla - Miranda - Caringbah",317,6764,3664,4537,5746,6364,6290,6597,7225,8094,6254,5782,4187,6677,4944,19815,103266,
"Sutherland - Menai - Heathcote",283,6755,4058,4817,5587,6009,6019,6038,7093,8238,6019,5806,4258,6918,3598,21731,103229,
"Migratory - Offshore - Shipping (NSW)",0,19,9,32,43,31,37,43,25,10,7,15,3,13,3,39,337,
"No Usual Address (NSW)",96,1141,360,1548,1326,1047,704,682,668,536,272,215,134,210,109,741,9792,
"Ballarat",359,5762,3775,6888,8317,8637,7347,7124,7186,6909,4435,3434,2279,2638,1501,19967,96564,
"Creswick - Daylesford - Ballan",139,1663,1059,1822,2382,2518,2058,1894,1861,1713,1081,925,562,766,410,4879,25729,
"Maryborough - Pyrenees",148,1393,891,2086,3119,2679,1914,1753,1611,1257,667,520,269,279,142,4119,22852,
"Bendigo",256,4733,3442,6059,7513,7434,6934,7052,6951,6170,4072,3082,1929,2286,1066,18138,87125,
"Heathcote - Castlemaine - Kyneton",160,2662,1757,2817,3902,3890,3273,3118,3073,2884,1958,1630,982,1443,806,8219,42568,
"Loddon - Elmore",85,638,408,813,1258,1080,852,752,771,631,368,250,164,145,92,1955,10270,
"Barwon - West",76,1197,707,1062,1307,1188,1211,1125,1210,1347,896,771,443,581,329,4263,17702,
"Geelong",640,11650,7402,12251,14973,15022,12895,12347,12795,12570,8257,6561,4398,5679,2899,33711,174041,
"Surf Coast - Bellarine Peninsula",230,4187,2641,3901,5007,4998,5178,4603,4749,4787,3424,2968,2023,2640,1668,13832,66833,
"Upper Goulburn Valley",302,3174,1853,3228,4808,4535,3884,3699,3783,3484,2232,1608,1096,1202,578,9169,48634,
"Wangaratta - Benalla",196,2151,1545,2922,4181,4179,3543,3511,3475,3002,1821,1360,813,881,491,7944,42002,
"Wodonga - Alpine",232,3448,2326,4083,5508,5423,5110,5077,5524,5017,3400,2382,1554,1608,669,13293,64659,
"Baw Baw",220,2952,1778,3019,3906,3930,3470,3362,3333,3044,1976,1500,1070,1305,692,9309,44867,
"Gippsland - East",207,2138,1558,3314,4900,4490,3771,3292,2992,2632,1426,1046,596,680,437,7153,40639,
"Gippsland - South West",300,3121,2162,4357,6262,5998,5076,4338,3977,3546,2070,1629,989,1163,712,10493,56206,
"Latrobe Valley",271,4355,2638,5129,6521,6216,5159,4526,4436,4025,2641,2168,1628,2365,1207,13237,66510,
"Wellington",204,2510,1497,2661,3711,3580,2948,2752,2734,2588,1627,1206,858,1137,823,7621,38463,
"Brunswick - Coburg",309,5569,2623,5336,5982,5638,5149,4955,5919,6907,5215,4589,3198,4888,2479,11928,80680,
"Darebin - South",126,2859,1613,2796,3362,2988,2807,2878,3456,3869,3034,2783,1940,3270,2274,8441,48492,
"Essendon",254,4627,2403,3573,3672,3662,3371,3413,4108,4697,3783,3349,2445,4197,3134,10929,61626,
"Melbourne City",1022,23876,4539,6938,6511,6346,6712,6240,7767,9130,7340,6407,4512,7969,5923,8730,119965,
"Port Phillip",321,5313,2127,3720,4279,4831,4319,4863,6605,8096,6667,6347,4582,8510,7863,11789,90219,
"Stonnington - West",236,4122,1395,2367,2585,2619,2586,2930,4096,5204,4345,4086,2877,5252,5805,5781,56290,
"Yarra",279,4145,2120,4465,4358,4387,4064,4198,5620,7195,6299,5672,4035,7059,5502,9795,79202,
"Boroondara",582,15943,7102,7677,6966,7341,7767,7701,9128,10461,8230,7955,5788,11305,14544,28805,157289,
"Manningham - West",423,9752,3988,5654,6400,5681,5484,5184,5624,5783,4108,3680,2610,4137,2922,14052,85482,
"Whitehorse - West",505,12378,4593,6090,6524,6172,5924,5581,5871,6451,4514,4051,3000,4957,3461,16443,96515,
"Bayside",311,7422,3885,4051,4323,4810,4566,4388,5086,5655,4411,4401,3264,6609,9305,18416,90903,
"Glen Eira",550,13342,5346,7058,7796,8196,7667,7552,8924,10052,7628,7088,5197,9014,7265,27081,139755,
"Kingston",385,7807,4324,5744,6878,7502,6788,6796,7750,8569,6393,5691,4022,6078,3210,21281,109222,
"Stonnington - East",134,3926,1580,1755,1855,1818,1889,1767,2151,2734,2094,2059,1480,2747,3839,7082,38903,
"Banyule",435,8786,4762,6497,7343,7725,7187,6933,7924,8575,6522,5877,4155,6227,3815,22011,114765,
"Darebin - North",506,8107,3518,6834,7902,6950,5548,5757,6290,6407,4298,3432,2202,2922,1124,15004,86792,
"Nillumbik - Kinglake",200,4772,2992,3176,3136,3338,3751,3609,4220,4537,3528,3214,2333,3664,2354,12832,61657,
"Whittlesea - Wallan",1038,18595,7737,13685,15256,12806,12333,14044,15817,15371,10086,7180,4377,4968,1640,46004,200920,
"Keilor",245,4294,2273,3561,4562,3868,3438,3288,3686,4002,3027,2530,1821,2590,1505,10064,54745,
"Macedon Ranges",107,2171,1108,1456,1567,1697,1716,1620,1884,1966,1397,1348,917,1490,907,6313,27659,
"Moreland - North",303,6308,2486,4695,5976,5608,4445,4420,4992,4987,3499,2898,1855,2469,837,14053,69826,
"Sunbury",136,2734,1586,2031,2456,2468,2448,2568,2852,3226,2175,1607,1051,1400,542,7751,37033,
"Tullamarine - Broadmeadows",1190,14976,6554,12730,12286,9721,8984,9810,10939,9931,5993,4084,2469,2720,1025,36584,149981,
"Knox",554,12797,6534,8692,10227,10082,9675,10148,11586,11920,8071,6493,4290,5646,2311,27069,146097,
"Manningham - East",106,2251,1218,1264,1305,1465,1519,1339,1514,1640,1258,1176,836,1416,1478,4714,24499,
"Maroondah",368,7477,4512,6117,6571,7623,6971,6932,7759,8320,5927,4939,3355,4664,2024,20513,104081,
"Whitehorse - East",204,5317,2657,3412,3903,3980,3800,3497,4024,4100,2965,2592,1958,3059,1480,10953,57884,
"Yarra Ranges",599,9765,5782,8195,9895,10336,9865,9998,11234,11185,7450,5949,3848,4971,2137,28306,139505,
"Cardinia",328,6542,3269,4742,5688,5585,5881,6234,7136,7187,4666,3460,2156,2594,1069,21756,88292,
"Casey - North",664,12165,5325,8009,8789,7965,7557,8480,9684,9554,6078,4481,2903,3792,1693,26735,123864,
"Casey - South",932,15023,5806,8712,9083,8577,9537,11843,13632,12820,7904,5406,3240,3504,1118,41112,158255,
"Dandenong",1322,20148,6887,14351,16077,13496,11679,13659,14031,11782,6606,4570,2597,2823,1083,32966,174094,
"Monash",977,22648,7716,10696,11608,10894,10022,9703,10621,11389,7845,6724,4875,7776,4242,27585,165314,
"Brimbank",1338,19135,7348,15013,15729,12605,10891,12426,13251,11859,6887,4635,2741,3113,1055,34423,172437,
"Hobsons Bay",383,6227,2956,4743,5589,5261,4272,4335,5292,5854,4300,3847,2731,4529,2646,15546,78509,
"Maribyrnong",391,6675,2578,5290,5378,4964,4416,4732,5640,5953,4318,3720,2614,4099,2006,13189,75969,
"Melton - Bacchus Marsh",799,12583,5342,8304,8908,8174,8392,9275,10703,11016,7521,5497,3617,4216,1429,37189,142965,
"Wyndham",1151,21078,7523,11592,11139,10533,11258,13222,16188,16378,10529,8184,5361,7132,2650,54610,208535,
"Frankston",484,8460,4749,7531,9148,9674,8943,9208,10459,10292,6705,5032,3235,3742,1522,25029,124210,
"Mornington Peninsula",522,9173,5592,8400,11970,12463,11682,10553,10712,10171,6978,5577,3996,5064,3756,26840,143450,
"Grampians",401,2641,2030,3724,5572,5672,4754,4511,4375,3656,2175,1530,989,1019,574,9827,53476,
"Mildura",252,2876,1791,3599,4793,4536,3831,3955,3909,3270,2007,1487,864,867,506,10231,48788,
"Murray River - Swan Hill",275,1949,1290,2417,3392,3358,2853,2833,2626,2258,1135,873,469,499,344,6621,33191,
"Campaspe",206,1898,1305,2250,3465,3266,2911,2788,2701,2459,1326,1022,623,647,352,6675,33888,
